"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr4",154709441,154711675,2235,"*",42,3.2497915817666e-61,1.58234357310358e-29,3.5671582950652e-05,6.49943829121221e-41,0.217572518681347,0.0523372548007847,"SFRP2"
"chr3",50377755,50379334,1580,"*",17,4.98589519944276e-58,3.06789151494566e-37,2.54496658550284e-05,4.2905458326355e-42,0.200088062239991,0.116499887858603,"ZMYND10-AS1, RASSF1, ZMYND10"
"chr6",152128024,152130332,2309,"*",24,2.28470180082725e-56,9.77383343044771e-47,1.98280682346418e-05,1.26329484868667e-47,-0.137737753937689,-0.0496175297615747,"ESR1"
"chr6",29454623,29455532,910,"*",11,1.3006453404953e-54,1.33654584744283e-44,6.7692479363722e-06,5.24696154121265e-42,-0.295491828591946,-0.204988016922648,"MAS1L"
"chr11",69468337,69469820,1484,"*",11,7.91613070449486e-48,6.16474534729231e-44,1.49275993925763e-05,5.65137980138503e-41,-0.290657363247506,-0.161320069165292,"CCND1, ORAOV1"
"chr8",24770381,24773268,2888,"*",16,8.94220265246425e-48,6.78956328583521e-53,2.05065604902664e-05,1.39159590788001e-49,0.27494695724117,0.129044211993471,"NEFM, GS1-72M22.1"
"chr4",2626239,2627246,1008,"*",9,3.25276143808818e-45,2.03091692582435e-29,6.05551363432837e-06,9.84089126487566e-32,0.210152105548755,0.131401555233174,"RNF4, FAM193A"
"chr13",78492306,78494462,2157,"*",33,1.88311464901614e-42,1.23778820551636e-26,2.47178697895033e-05,1.61740659266252e-33,-0.149757617708094,0.0281223370557459,"RNF219-AS1, EDNRB"
"chr6",29520527,29521803,1277,"*",32,4.51684345125449e-42,5.32865906343728e-38,0.000322013012822396,2.93434257085936e-37,0.170294927063164,0.0752800425952989,"OR2I1P"
"chr6",32063114,32065702,2589,"*",41,2.50475362718747e-41,2.26594751298482e-43,0.000794389971965564,1.81529121656889e-40,-0.196363793635616,-0.0760709511635555,"TNXB"
"chr18",74960652,74964030,3379,"*",27,6.85585657518305e-41,5.5863380750531e-30,1.49275993925763e-05,1.12479754489265e-35,0.214773474374583,0.0803076702851987,"GALR1"
"chr6",27647843,27649120,1278,"*",9,8.44469695538962e-40,2.27069267420378e-36,1.41021268076287e-05,1.35617039669345e-33,0.231306170250806,0.166151908391058,NA
"chr5",140810051,140811642,1592,"*",14,1.11760446773012e-38,1.81590246906555e-38,4.05038886387174e-05,2.87408543619092e-35,0.214891022236321,0.147100992236589,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12"
"chr6",28058724,28059208,485,"*",9,9.40661591116842e-38,7.49662762754559e-35,3.41999363718712e-05,9.84089126487566e-32,0.213055420440889,0.155620058171053,"ZSCAN12P1"
"chr6",31597461,31603374,5914,"*",60,4.74899025203486e-37,5.8332817701658e-34,0.000226770021842066,3.64980719664301e-43,0.155139486469466,0.0533503581086992,"PRRC2A"
"chr11",117069479,117070485,1007,"*",6,5.39665564502935e-37,2.78048581165137e-30,9.17995169029239e-06,1.85787583711634e-28,0.200708283052335,0.1563645688008,"TAGLN"
"chr3",181428046,181429460,1415,"*",17,6.99206658335507e-37,2.63844821495305e-27,0.000155908461467389,8.57758255308552e-29,0.175160891157201,0.111553899027236,"SOX2-OT"
"chr4",16084676,16086085,1410,"*",14,1.22138339796093e-36,1.74929865323227e-27,3.41999363718712e-05,7.98164164768506e-28,0.206456400029728,0.118477330017389,"PROM1"
"chr14",85995655,85998669,3015,"*",20,1.63479739974762e-36,9.69823996786993e-43,1.91733011250057e-05,2.8811062370633e-40,0.149729702576398,0.0775183433906036,"RP11-497E19.2, FLRT2, RP11-497E19.1"
"chr1",169396706,169397550,845,"*",9,1.65240515885622e-36,3.82045337373273e-22,1.83998261755655e-05,2.92633427992825e-26,0.334501119265098,0.19156162386889,"CCDC181"
"chr19",15375283,15375450,168,"*",6,5.03695681922396e-36,3.5851911690065e-30,5.09459243556146e-06,3.28514138410915e-28,0.195044042918536,0.16018729557861,"BRD4"
"chr14",29234671,29236898,2228,"*",18,5.88902326329227e-36,1.38958829943413e-31,3.26200445394582e-05,1.94082268694398e-32,0.186932622124463,0.102224882412388,"FOXG1"
"chr6",27840257,27842098,1842,"*",15,1.41345250027862e-35,1.74929865323227e-27,0.000138638426709941,1.62681636909605e-28,0.162797620468054,0.105460593280893,"HIST1H4L"
"chr7",27168962,27171401,2440,"*",22,1.9717325803279e-35,1.66213423782499e-32,0.000190978407318915,1.52332431876179e-33,0.144031715099174,0.0782268364968445,"HOXA-AS2, HOXA-AS3, HOXA3, HOXA4, RP1-170O19.22"
"chr15",83952345,83954395,2051,"*",19,4.18675786161624e-35,3.5851911690065e-30,7.10143117841794e-05,1.31344143635212e-30,0.226465213401828,0.0708265854985547,"RP11-382A20.4, BNC1"
"chr1",171809804,171811529,1726,"*",14,1.34776329376356e-34,5.69609461705079e-30,3.55251326068486e-05,6.72854660547559e-30,0.298988537403855,0.120435947048404,"DNM3"
